segm_idx,tablet_CDLI,view_desc,collection,mzl_label,train_label,bbox,relative_bbox
957,P335960,Obv,saa06,18,210,"[1041, 1736, 1188, 1832]","[535, 100, 682, 196]"
957,P335960,Obv,saa06,92,140,"[1170, 1720, 1256, 1828]","[664, 84, 750, 192]"
957,P335960,Obv,saa06,754,56,"[1246, 1737, 1312, 1829]","[740, 101, 806, 193]"
957,P335960,Obv,saa06,10,26,"[1042, 1841, 1101, 1909]","[536, 205, 595, 273]"
957,P335960,Obv,saa06,464,113,"[1097, 1837, 1160, 1920]","[591, 201, 654, 284]"
957,P335960,Obv,saa06,92,140,"[1154, 1827, 1223, 1906]","[648, 191, 717, 270]"
957,P335960,Obv,saa06,437,165,"[1215, 1819, 1304, 1904]","[709, 183, 798, 268]"
957,P335960,Obv,saa06,748,14,"[1005, 1836, 1065, 1934]","[499, 200, 559, 298]"
957,P335960,Obv,saa06,839,11,"[1233, 1906, 1277, 1980]","[727, 270, 771, 344]"
957,P335960,Obv,saa06,839,11,"[1203, 1906, 1236, 1987]","[697, 270, 730, 351]"
957,P335960,Obv,saa06,753,81,"[1077, 1922, 1147, 1996]","[571, 286, 641, 360]"
957,P335960,Obv,saa06,511,42,"[1146, 1904, 1216, 1996]","[640, 268, 710, 360]"
957,P335960,Obv,saa06,71,193,"[976, 1916, 1082, 2006]","[470, 280, 576, 370]"
957,P335960,Obv,saa06,724,79,"[896, 1937, 976, 2011]","[390, 301, 470, 375]"
957,P335960,Obv,saa06,71,193,"[1117, 2128, 1201, 2200]","[611, 492, 695, 564]"
957,P335960,Obv,saa06,578,98,"[1054, 2127, 1121, 2218]","[548, 491, 615, 582]"
957,P335960,Obv,saa06,859,1,"[982, 2132, 1064, 2207]","[476, 496, 558, 571]"
957,P335960,Obv,saa06,215,281,"[1189, 2137, 1271, 2197]","[683, 501, 765, 561]"
957,P335960,Obv,saa06,640,75,"[917, 2054, 1041, 2134]","[411, 418, 535, 498]"
957,P335960,Obv,saa06,252,80,"[896, 1850, 1016, 1930]","[390, 214, 510, 294]"
2029,P335652,Obv,saa06,859,1,"[749, 207, 798, 261]","[422.0, 106.0, 471.0, 160.0]"
2029,P335652,Obv,saa06,1,2,"[753, 161, 847, 208]","[426.0, 60.0, 520.0, 107.0]"
2029,P335652,Obv,saa06,248,5,"[727, 256, 786, 307]","[400.0, 155.0, 459, 206]"
2029,P335652,Obv,saa06,142,76,"[698, 212, 761, 267]","[371.0, 111.0, 434, 166]"
2029,P335652,Obv,saa06,839,11,"[507, 211, 552, 264]","[180.0, 110.0, 225.0, 163.0]"
2029,P335652,Obv,saa06,839,11,"[705, 166, 755, 219]","[378.0, 65.0, 428.0, 118.0]"
2029,P335652,Obv,saa06,486,311,"[479, 172, 558, 214]","[152.0, 71.0, 231.0, 113.0]"
2029,P335652,Obv,saa06,501,130,"[424, 870, 506, 923]","[97.0, 769.0, 179, 822]"
2029,P335652,Obv,saa06,501,130,"[530, 250, 607, 321]","[203.0, 149.0, 280, 220]"
2029,P335652,Obv,saa06,89,108,"[373, 911, 425, 959]","[46.0, 810.0, 98.0, 858.0]"
2029,P335652,Obv,saa06,553,35,"[435, 209, 509, 259]","[108.0, 108.0, 182.0, 158.0]"
2029,P335652,Obv,saa06,815,164,"[422, 915, 483, 959]","[95.0, 814.0, 156.0, 858.0]"
2029,P335652,Obv,saa06,24,58,"[426, 958, 478, 1000]","[99.0, 857.0, 151.0, 899.0]"
2029,P335652,Obv,saa06,164,78,"[383, 249, 452, 304]","[56.0, 148.0, 125.0, 203.0]"
2029,P335652,Obv,saa06,385,0,"[387, 159, 482, 219]","[60.0, 58.0, 155, 118]"
2029,P335652,Obv,saa06,348,296,"[375, 829, 449, 883]","[48.0, 728.0, 122.0, 782.0]"
2029,P335652,Obv,saa06,561,65,"[785, 254, 854, 306]","[458.0, 153.0, 527.0, 205.0]"
2029,P335652,Obv,saa06,514,15,"[456, 255, 534, 304]","[129.0, 154.0, 207.0, 203.0]"
2029,P335652,Obv,saa06,514,15,"[385, 205, 444, 256]","[58.0, 104.0, 117.0, 155.0]"
2029,P335652,Obv,saa06,71,193,"[802, 203, 859, 252]","[475, 102, 532, 151]"
2029,P335652,Obv,saa06,24,58,"[374, 958, 429, 1001]","[47, 857, 102, 900]"
2029,P335652,Obv,saa06,552,13,"[414, 998, 461, 1043]","[87, 897, 134, 942]"
2029,P335652,Obv,saa06,589,18,"[455, 997, 519, 1043]","[128, 896, 192, 942]"
2029,P335652,Obv,saa06,1,2,"[380, 1007, 413, 1028]","[53, 906, 86, 927]"
2029,P335652,Obv,saa06,514,15,"[372, 880, 431, 922]","[45, 779, 104, 821]"
43,P335958,Rev,saa06,110,4,"[732, 1361, 830, 1410]","[420.0, 312.0, 518.0, 361.0]"
43,P335958,Rev,saa06,839,11,"[941, 1300, 1010, 1351]","[629.0, 251.0, 698.0, 302.0]"
43,P335958,Rev,saa06,839,11,"[576, 1275, 619, 1322]","[264.0, 226.0, 307.0, 273.0]"
43,P335958,Rev,saa06,552,13,"[438, 1235, 515, 1281]","[126.0, 186.0, 203.0, 232.0]"
43,P335958,Rev,saa06,748,14,"[685, 1272, 734, 1319]","[373.0, 223.0, 422.0, 270.0]"
43,P335958,Rev,saa06,748,14,"[815, 1222, 858, 1267]","[503.0, 173.0, 546.0, 218.0]"
43,P335958,Rev,saa06,748,14,"[634, 1229, 682, 1275]","[322.0, 180.0, 370.0, 226.0]"
43,P335958,Rev,saa06,92,140,"[864, 1348, 1017, 1399]","[552.0, 299.0, 705.0, 350.0]"
43,P335958,Rev,saa06,469,28,"[804, 1310, 856, 1355]","[492.0, 261.0, 544, 306]"
43,P335958,Rev,saa06,350,25,"[737, 1218, 820, 1274]","[425.0, 169.0, 508, 225]"
43,P335958,Rev,saa06,10,26,"[581, 1188, 659, 1234]","[269.0, 139.0, 347, 185]"
43,P335958,Rev,saa06,98,41,"[738, 1313, 800, 1359]","[426.0, 264.0, 488.0, 310.0]"
43,P335958,Rev,saa06,98,41,"[517, 1190, 577, 1235]","[205.0, 141.0, 265.0, 186.0]"
43,P335958,Rev,saa06,511,42,"[504, 1274, 580, 1324]","[192.0, 225.0, 268.0, 275.0]"
43,P335958,Rev,saa06,24,58,"[803, 1262, 900, 1308]","[491.0, 213.0, 588.0, 259.0]"
43,P335958,Rev,saa06,514,15,"[849, 1306, 940, 1353]","[537.0, 257.0, 628, 304]"
43,P335958,Rev,saa06,724,79,"[577, 1318, 648, 1363]","[265.0, 269.0, 336.0, 314.0]"
43,P335958,Rev,saa06,724,79,"[615, 1273, 696, 1320]","[303.0, 224.0, 384.0, 271.0]"
43,P335958,Rev,saa06,724,79,"[579, 1234, 644, 1276]","[267.0, 185.0, 332.0, 227.0]"
43,P335958,Rev,saa06,724,79,"[800, 1184, 871, 1227]","[488.0, 135.0, 559.0, 178.0]"
43,P335958,Rev,saa06,724,79,"[848, 1224, 911, 1265]","[536.0, 175.0, 599.0, 216.0]"
