line_idx,x,y,segm_idx,tablet_CDLI
0,1410,356,0,VAT13604Vs
0,2096,366,0,VAT13604Vs
0,2744,352,0,VAT13604Vs
1,656,466,0,VAT13604Vs
1,1784,488,0,VAT13604Vs
1,2364,504,0,VAT13604Vs
1,2920,494,0,VAT13604Vs
2,430,622,0,VAT13604Vs
2,1222,596,0,VAT13604Vs
2,1702,602,0,VAT13604Vs
2,2100,618,0,VAT13604Vs
2,2486,602,0,VAT13604Vs
2,2934,618,0,VAT13604Vs
3,268,858,0,VAT13604Vs
3,606,812,0,VAT13604Vs
3,820,776,0,VAT13604Vs
3,1246,748,0,VAT13604Vs
3,1930,752,0,VAT13604Vs
3,2326,768,0,VAT13604Vs
3,2892,784,0,VAT13604Vs
4,262,1004,0,VAT13604Vs
4,430,966,0,VAT13604Vs
4,668,926,0,VAT13604Vs
4,1034,896,0,VAT13604Vs
4,1630,884,0,VAT13604Vs
4,1868,892,0,VAT13604Vs
4,2618,900,0,VAT13604Vs
4,2960,910,0,VAT13604Vs
5,250,1136,0,VAT13604Vs
5,482,1082,0,VAT13604Vs
5,818,1074,0,VAT13604Vs
5,1004,1066,0,VAT13604Vs
5,1420,1058,0,VAT13604Vs
5,1908,1050,0,VAT13604Vs
5,2268,1052,0,VAT13604Vs
5,2642,1070,0,VAT13604Vs
5,2912,1070,0,VAT13604Vs
6,250,1276,0,VAT13604Vs
6,514,1230,0,VAT13604Vs
6,862,1210,0,VAT13604Vs
6,1116,1202,0,VAT13604Vs
6,1434,1208,0,VAT13604Vs
6,1804,1184,0,VAT13604Vs
6,2344,1196,0,VAT13604Vs
6,2898,1202,0,VAT13604Vs
7,284,1400,0,VAT13604Vs
7,404,1370,0,VAT13604Vs
7,652,1362,0,VAT13604Vs
7,932,1352,0,VAT13604Vs
7,1290,1332,0,VAT13604Vs
7,1798,1328,0,VAT13604Vs
7,2572,1328,0,VAT13604Vs
7,2934,1338,0,VAT13604Vs
8,276,1544,0,VAT13604Vs
8,860,1500,0,VAT13604Vs
8,1232,1486,0,VAT13604Vs
8,1650,1460,0,VAT13604Vs
9,1994,1454,0,VAT13604Vs
9,2610,1460,0,VAT13604Vs
9,2948,1456,0,VAT13604Vs
10,268,1720,0,VAT13604Vs
10,502,1668,0,VAT13604Vs
10,738,1646,0,VAT13604Vs
10,1042,1614,0,VAT13604Vs
10,1632,1600,0,VAT13604Vs
11,1994,1600,0,VAT13604Vs
11,2710,1620,0,VAT13604Vs
11,2972,1594,0,VAT13604Vs
12,334,1862,0,VAT13604Vs
12,520,1810,0,VAT13604Vs
12,758,1794,0,VAT13604Vs
12,1130,1772,0,VAT13604Vs
12,1584,1748,0,VAT13604Vs
13,2080,1744,0,VAT13604Vs
13,2302,1740,0,VAT13604Vs
13,2596,1742,0,VAT13604Vs
13,2900,1760,0,VAT13604Vs
14,588,1966,0,VAT13604Vs
14,970,1932,0,VAT13604Vs
14,1410,1900,0,VAT13604Vs
14,1704,1894,0,VAT13604Vs
14,1966,1904,0,VAT13604Vs
14,2266,1920,0,VAT13604Vs
14,2570,1914,0,VAT13604Vs
14,2804,1896,0,VAT13604Vs
14,2960,1894,0,VAT13604Vs
15,780,2096,0,VAT13604Vs
15,1218,2082,0,VAT13604Vs
15,1706,2058,0,VAT13604Vs
15,2030,2066,0,VAT13604Vs
15,2432,2066,0,VAT13604Vs
15,2646,2078,0,VAT13604Vs
15,2884,2056,0,VAT13604Vs
15,2986,2022,0,VAT13604Vs
16,496,2322,0,VAT13604Vs
16,720,2302,0,VAT13604Vs
16,968,2254,0,VAT13604Vs
16,1262,2234,0,VAT13604Vs
16,1602,2228,0,VAT13604Vs
16,2014,2224,0,VAT13604Vs
16,2384,2242,0,VAT13604Vs
16,2610,2234,0,VAT13604Vs
17,462,2524,0,VAT13604Vs
17,730,2506,0,VAT13604Vs
17,1234,2458,0,VAT13604Vs
17,1452,2454,0,VAT13604Vs
17,1636,2454,0,VAT13604Vs
18,436,2690,0,VAT13604Vs
18,732,2672,0,VAT13604Vs
18,1022,2636,0,VAT13604Vs
19,2506,2588,0,VAT13604Vs
19,2964,2568,0,VAT13604Vs
20,406,2840,0,VAT13604Vs
20,950,2778,0,VAT13604Vs
21,2164,2764,0,VAT13604Vs
21,2628,2748,0,VAT13604Vs
21,2914,2702,0,VAT13604Vs
22,486,2984,0,VAT13604Vs
22,940,2950,0,VAT13604Vs
23,1398,2916,0,VAT13604Vs
23,1864,2902,0,VAT13604Vs
23,2330,2890,0,VAT13604Vs
23,2640,2848,0,VAT13604Vs
23,2910,2816,0,VAT13604Vs
24,514,3114,0,VAT13604Vs
24,814,3088,0,VAT13604Vs
24,1616,3056,0,VAT13604Vs
24,1846,3040,0,VAT13604Vs
24,2182,3030,0,VAT13604Vs
24,2578,2992,0,VAT13604Vs
24,2828,2972,0,VAT13604Vs
24,2950,2942,0,VAT13604Vs
25,516,3230,0,VAT13604Vs
25,904,3230,0,VAT13604Vs
25,1180,3232,0,VAT13604Vs
25,1414,3212,0,VAT13604Vs
25,1806,3200,0,VAT13604Vs
25,2174,3168,0,VAT13604Vs
25,2888,3110,0,VAT13604Vs
26,514,3418,0,VAT13604Vs
26,1010,3398,0,VAT13604Vs
26,1426,3372,0,VAT13604Vs
26,1756,3358,0,VAT13604Vs
26,2172,3326,0,VAT13604Vs
26,2556,3278,0,VAT13604Vs
26,2908,3244,0,VAT13604Vs
27,504,3556,0,VAT13604Vs
27,892,3550,0,VAT13604Vs
27,1322,3536,0,VAT13604Vs
27,1742,3514,0,VAT13604Vs
27,2092,3494,0,VAT13604Vs
27,2770,3438,0,VAT13604Vs
27,2892,3434,0,VAT13604Vs
28,530,3706,0,VAT13604Vs
28,1164,3676,0,VAT13604Vs
28,1640,3670,0,VAT13604Vs
28,2006,3664,0,VAT13604Vs
28,2376,3642,0,VAT13604Vs
28,2718,3612,0,VAT13604Vs
28,2864,3592,0,VAT13604Vs
29,1172,3840,0,VAT13604Vs
29,1472,3832,0,VAT13604Vs
30,1928,3824,0,VAT13604Vs
30,2642,3776,0,VAT13604Vs
31,1706,3982,0,VAT13604Vs
31,2334,3942,0,VAT13604Vs
31,2648,3924,0,VAT13604Vs
31,2882,3920,0,VAT13604Vs
32,1268,4130,0,VAT13604Vs
32,1640,4132,0,VAT13604Vs
32,1988,4120,0,VAT13604Vs
32,2450,4094,0,VAT13604Vs
32,2864,4068,0,VAT13604Vs
33,1330,4280,0,VAT13604Vs
33,1732,4276,0,VAT13604Vs
33,2416,4280,0,VAT13604Vs
33,2810,4226,0,VAT13604Vs
33,2922,4220,0,VAT13604Vs
34,1420,4448,0,VAT13604Vs
34,2012,4426,0,VAT13604Vs
34,2518,4420,0,VAT13604Vs
34,2862,4402,0,VAT13604Vs
0,2218,336,1,VAT13604Rs
0,2890,318,1,VAT13604Rs
1,2154,474,1,VAT13604Rs
1,2910,450,1,VAT13604Rs
2,1936,604,1,VAT13604Rs
2,2398,588,1,VAT13604Rs
2,2910,578,1,VAT13604Rs
3,1950,736,1,VAT13604Rs
3,2514,728,1,VAT13604Rs
3,2910,728,1,VAT13604Rs
4,1906,882,1,VAT13604Rs
4,2908,872,1,VAT13604Rs
5,2046,1102,1,VAT13604Rs
