segm_idx,tablet_CDLI,view_desc,collection,bbox,scale,assigned
0,P336573,Obv,saa08,"[434, 236, 1397, 767]",2.2,True
1,P336573,,saa08,"[1379, 250, 1670, 723]",,False
2,P336573,,saa08,"[1659, 251, 1942, 740]",,False
3,P336573,,saa08,"[175, 263, 454, 730]",,False
4,P336573,,saa08,"[450, 767, 1383, 1060]",,False
5,P336573,Rev,saa08,"[452, 1062, 1410, 1600]",2.2,True
6,P336573,,saa08,"[1407, 1113, 1644, 1571]",,False
7,P336573,,saa08,"[460, 1600, 1394, 1890]",,False
8,P336573,,saa08,"[593, 1989, 1333, 2290]",,False
9,P336573,,saa08,"[664, 2102, 1316, 2187]",,False
10,P237853,,saa08,"[326, 12, 720, 151]",,False
11,P237853,Obv,saa08,"[222, 215, 743, 528]",2.05,True
12,P237853,,saa08,"[752, 223, 940, 503]",,False
13,P237853,,saa08,"[20, 241, 209, 514]",,False
14,P237853,,saa08,"[242, 597, 516, 701]",,False
15,P237853,,saa08,"[492, 607, 701, 699]",,False
16,P237853,,saa08,"[244, 727, 731, 931]",,False
17,P237853,,saa08,"[256, 953, 728, 1038]",,False
18,P237853,,saa08,"[816, 1092, 887, 1657]",,False
19,P237853,Rev,saa08,"[237, 1135, 758, 1450]",2.05,True
20,P237853,,saa08,"[248, 1466, 733, 1662]",,False
21,P237286,Obv,saa08,"[258, 59, 984, 461]",1.79,True
22,P237286,,saa08,"[998, 71, 1218, 465]",,False
23,P237286,,saa08,"[64, 74, 257, 459]",,False
24,P237286,,saa08,"[268, 494, 975, 696]",,False
25,P237286,Rev,saa08,"[261, 716, 982, 1121]",1.79,True
26,P237286,,saa08,"[265, 1135, 970, 1341]",,False
27,P237286,,saa08,"[364, 1389, 968, 1553]",,False
28,P237286,,saa08,"[488, 1394, 609, 1479]",,False
29,P237286,,saa08,"[724, 1394, 843, 1479]",,False
30,P237341,,saa08,"[69, 62, 272, 437]",,False
31,P237341,,saa08,"[964, 75, 1236, 447]",,False
32,P237341,Obv,saa08,"[295, 76, 953, 446]",4.0,True
33,P237341,,saa08,"[307, 488, 948, 748]",,False
34,P237341,,saa08,"[302, 795, 944, 1161]",,False
35,P237341,,saa08,"[305, 1199, 948, 1452]",,False
36,P237341,,saa08,"[358, 1553, 953, 1627]",,False
37,P336497,Obv,saa08,"[217, 59, 717, 382]",2.61,True
38,P336497,,saa08,"[69, 69, 218, 367]",,False
