segm_idx,tablet_CDLI,view_desc,rec_idx,line_idx,pos_idx,train_label,mzl_label,status
2,VAT11100Rs,Rev,0,0,0,11,839,2
2,VAT11100Rs,Rev,1,0,1,4,110,2
2,VAT11100Rs,Rev,2,0,2,0,0,0
2,VAT11100Rs,Rev,3,1,0,11,839,2
2,VAT11100Rs,Rev,4,1,1,4,110,2
2,VAT11100Rs,Rev,5,1,2,0,0,0
2,VAT11100Rs,Rev,6,2,0,41,98,2
2,VAT11100Rs,Rev,7,2,1,5,248,1
2,VAT11100Rs,Rev,8,2,2,41,98,2
2,VAT11100Rs,Rev,9,2,3,0,0,0
2,VAT11100Rs,Rev,10,2,4,65,561,1
2,VAT11100Rs,Rev,11,2,5,46,313,1
2,VAT11100Rs,Rev,12,2,6,83,118,2
2,VAT11100Rs,Rev,13,2,7,0,0,0
2,VAT11100Rs,Rev,14,3,0,65,561,2
2,VAT11100Rs,Rev,15,3,1,0,0,0
2,VAT11100Rs,Rev,16,3,2,17,112,1
2,VAT11100Rs,Rev,17,3,3,37,698,1
2,VAT11100Rs,Rev,18,3,4,108,89,1
2,VAT11100Rs,Rev,19,3,5,18,589,1
2,VAT11100Rs,Rev,20,3,6,0,0,0
2,VAT11100Rs,Rev,21,4,0,0,0,0
2,VAT11100Rs,Rev,22,4,1,11,839,1
2,VAT11100Rs,Rev,23,4,2,90,132,1
2,VAT11100Rs,Rev,24,4,3,108,89,2
2,VAT11100Rs,Rev,25,4,4,21,358,2
2,VAT11100Rs,Rev,26,4,5,111,856,1
2,VAT11100Rs,Rev,27,4,6,0,0,0
2,VAT11100Rs,Rev,28,5,0,1,859,1
2,VAT11100Rs,Rev,29,5,1,0,0,0
2,VAT11100Rs,Rev,30,5,2,13,552,2
2,VAT11100Rs,Rev,31,5,3,80,252,1
2,VAT11100Rs,Rev,32,5,4,18,589,2
2,VAT11100Rs,Rev,33,5,5,81,753,2
2,VAT11100Rs,Rev,34,5,6,0,0,0
2,VAT11100Rs,Rev,35,6,0,37,698,1
2,VAT11100Rs,Rev,36,6,1,0,0,0
2,VAT11100Rs,Rev,37,6,2,37,698,2
2,VAT11100Rs,Rev,38,6,3,11,839,2
2,VAT11100Rs,Rev,39,6,4,0,0,0
2,VAT11100Rs,Rev,40,7,0,11,839,1
2,VAT11100Rs,Rev,41,7,1,4,110,2
2,VAT11100Rs,Rev,42,7,2,0,0,0
2,VAT11100Rs,Rev,43,7,3,109,15,1
2,VAT11100Rs,Rev,44,8,0,80,252,1
2,VAT11100Rs,Rev,45,8,1,4,110,1
2,VAT11100Rs,Rev,46,8,2,0,0,0
2,VAT11100Rs,Rev,47,8,3,1,859,1
2,VAT11100Rs,Rev,48,8,4,100,737,2
2,VAT11100Rs,Rev,49,8,5,0,0,0
2,VAT11100Rs,Rev,50,9,0,80,252,1
2,VAT11100Rs,Rev,51,9,1,4,110,1
2,VAT11100Rs,Rev,52,9,2,179,558,2
2,VAT11100Rs,Rev,53,9,3,21,358,2
2,VAT11100Rs,Rev,54,9,4,0,0,0
2,VAT11100Rs,Rev,55,9,5,0,0,2
2,VAT11100Rs,Rev,56,9,6,73,16,1
2,VAT11100Rs,Rev,57,9,7,16,661,1
2,VAT11100Rs,Rev,58,9,8,11,839,1
2,VAT11100Rs,Rev,59,9,9,108,89,2
2,VAT11100Rs,Rev,60,9,10,108,89,1
2,VAT11100Rs,Rev,61,10,0,100,737,1
2,VAT11100Rs,Rev,62,10,1,80,252,1
2,VAT11100Rs,Rev,63,10,2,193,71,1
2,VAT11100Rs,Rev,64,10,3,4,110,1
2,VAT11100Rs,Rev,65,10,4,100,737,1
2,VAT11100Rs,Rev,66,10,5,76,142,2
2,VAT11100Rs,Rev,67,10,6,0,0,0
2,VAT11100Rs,Rev,68,10,7,219,576,1
2,VAT11100Rs,Rev,69,10,8,81,753,1
2,VAT11100Rs,Rev,70,10,9,41,98,2
2,VAT11100Rs,Rev,71,10,10,193,71,1
2,VAT11100Rs,Rev,72,10,11,41,98,1
2,VAT11100Rs,Rev,73,11,0,39,596,1
2,VAT11100Rs,Rev,74,11,1,195,259,1
2,VAT11100Rs,Rev,75,11,2,84,260,1
2,VAT11100Rs,Rev,76,11,3,30,490,1
2,VAT11100Rs,Rev,77,11,4,170,883,2
2,VAT11100Rs,Rev,78,11,5,192,339,1
2,VAT11100Rs,Rev,79,11,6,16,661,1
2,VAT11100Rs,Rev,80,11,7,1,859,1
2,VAT11100Rs,Rev,81,11,8,6,134,1
2,VAT11100Rs,Rev,82,11,9,13,552,1
2,VAT11100Rs,Rev,83,12,0,2,1,1
2,VAT11100Rs,Rev,84,12,1,46,313,1
2,VAT11100Rs,Rev,85,12,2,82,812,1
2,VAT11100Rs,Rev,86,12,3,77,736,1
2,VAT11100Rs,Rev,87,12,4,84,260,1
2,VAT11100Rs,Rev,88,12,5,11,839,1
2,VAT11100Rs,Rev,89,12,6,111,856,1
2,VAT11100Rs,Rev,90,12,7,11,839,1
2,VAT11100Rs,Rev,91,12,8,45,381,1
2,VAT11100Rs,Rev,92,12,9,110,140,1
2,VAT11100Rs,Rev,93,12,10,109,15,2
2,VAT11100Rs,Rev,94,13,0,39,596,1
2,VAT11100Rs,Rev,95,13,1,41,98,1
2,VAT11100Rs,Rev,96,13,2,96,567,1
2,VAT11100Rs,Rev,97,13,3,5,248,1
2,VAT11100Rs,Rev,98,13,4,17,112,1
2,VAT11100Rs,Rev,99,13,5,90,132,1
2,VAT11100Rs,Rev,100,13,6,41,98,1
2,VAT11100Rs,Rev,101,13,7,10,869,1
2,VAT11100Rs,Rev,102,13,8,179,558,1
2,VAT11100Rs,Rev,103,13,9,42,511,1
2,VAT11100Rs,Rev,104,13,10,0,0,0
2,VAT11100Rs,Rev,105,14,0,205,20,2
2,VAT11100Rs,Rev,106,14,1,100,737,1
2,VAT11100Rs,Rev,107,14,2,5,248,1
2,VAT11100Rs,Rev,108,14,3,11,839,1
2,VAT11100Rs,Rev,109,14,4,11,839,1
2,VAT11100Rs,Rev,110,14,5,16,661,1
2,VAT11100Rs,Rev,111,14,6,82,812,1
2,VAT11100Rs,Rev,112,14,7,80,252,1
2,VAT11100Rs,Rev,113,14,8,69,207,1
2,VAT11100Rs,Rev,114,14,9,39,596,1
2,VAT11100Rs,Rev,115,14,10,98,578,1
2,VAT11100Rs,Rev,116,14,11,39,596,2
2,VAT11100Rs,Rev,117,15,0,0,0,0
2,VAT11100Rs,Rev,118,15,1,13,552,2
2,VAT11100Rs,Rev,119,15,2,73,16,1
2,VAT11100Rs,Rev,120,15,3,157,238,1
2,VAT11100Rs,Rev,121,15,4,81,753,1
2,VAT11100Rs,Rev,122,15,5,11,839,1
2,VAT11100Rs,Rev,123,15,6,91,889,1
2,VAT11100Rs,Rev,124,15,7,41,98,1
2,VAT11100Rs,Rev,125,15,8,13,552,1
2,VAT11100Rs,Rev,126,15,9,7,141,1
2,VAT11100Rs,Rev,127,15,10,217,556,1
2,VAT11100Rs,Rev,128,15,11,39,596,1
2,VAT11100Rs,Rev,129,15,12,81,753,1
2,VAT11100Rs,Rev,130,15,13,84,260,2
2,VAT11100Rs,Rev,131,16,0,0,0,0
2,VAT11100Rs,Rev,132,16,1,13,552,1
2,VAT11100Rs,Rev,133,16,2,11,839,1
2,VAT11100Rs,Rev,134,16,3,8,111,1
2,VAT11100Rs,Rev,135,16,4,192,339,1
2,VAT11100Rs,Rev,136,16,5,178,504,1
2,VAT11100Rs,Rev,137,16,6,21,358,1
2,VAT11100Rs,Rev,138,16,7,84,260,1
2,VAT11100Rs,Rev,139,16,8,30,490,1
2,VAT11100Rs,Rev,140,16,9,1,859,1
2,VAT11100Rs,Rev,141,16,10,115,297,1
2,VAT11100Rs,Rev,142,16,11,237,262,1
2,VAT11100Rs,Rev,143,17,0,0,0,0
2,VAT11100Rs,Rev,144,17,1,176,221,2
2,VAT11100Rs,Rev,145,17,2,100,737,1
2,VAT11100Rs,Rev,146,17,3,19,498,1
2,VAT11100Rs,Rev,147,17,4,96,567,1
2,VAT11100Rs,Rev,148,17,5,178,504,1
